gene,rate
ADAM18,4.51591296616058e-06
ADAM19,6.47258878482478e-06
ADAM2,8.62187127622413e-06
ADAM20,1.58059971745944e-06
ADAM21,2.65013776605705e-06
ADAM22,2.98975385760108e-06
ADAM23,2.74433486406504e-06
ADAM28,1.48588873141903e-06
ADAM29,7.83237136365896e-06
ADAM30,2.4358479432981e-06
ADAM32,4.36730851825445e-06
ADAM33,4.81732914932275e-06
ADAM7,5.64236524912883e-06
ADAM8,8.48837055850502e-07
ADAM9,1.37137454268051e-06
ADAMDEC1,2.71229899997492e-06
ADAMTS1,3.06503990724127e-06
ADAMTS10,1.90727992411403e-06
ADAMTS12,1.80342942007445e-05
ADAMTS13,3.7463837211615e-06
ADAMTS14,4.84523066274484e-06
ADAMTS15,5.52857258926539e-06
ADAMTS16,8.59323756283698e-06
ADAMTS17,3.73953518092369e-06
ADAMTS18,6.48638164942069e-06
ADAMTS19,3.48516118415109e-06
ADAMTS2,4.47214437872649e-06
ADAMTS20,6.09940874700182e-06
ADAMTS3,2.34315560098975e-06
ADAMTS4,3.46273278233089e-06
ADAMTS5,1.34032474620819e-05
ADAMTS6,3.67098947156005e-06
ADAMTS7,3.29296836380407e-06
ADAMTS8,4.03524654870438e-06
ADAMTS9,3.10543550178444e-06
ADAMTSL1,5.1372515198437e-06
ADAMTSL2,4.14145290489532e-06
ADAMTSL3,3.56924679358651e-06
ADAMTSL4,3.32438651324026e-06
ADAMTSL4-AS1,8.3262012102046e-07
ADAMTSL5,2.67864802177694e-06
ADAP1,9.9405664607902e-07
ADAP2,3.4481004419823e-06
ADAR,2.54430970783217e-06
ADARB1,5.34822052452433e-06
ADARB2,5.14038123096152e-06
ADAT1,8.34230301300314e-07
ADAT2,1.69740005340912e-06
ADC,1.70527681407547e-06
ADCK1,2.68946202531917e-06
ADCK2,6.88901700001262e-07
ADCK3,2.61034410805023e-06
ADCK4,3.88852933178402e-06
ADCK5,1.19557942173891e-06
ADCY1,7.32413471813103e-06
ADCY10,1.98116619684704e-06
ADCY2,2.02195446455659e-05
ADCY3,3.39869574961172e-06
ADCY4,3.87870192758155e-06
ADCY5,8.13919824593935e-06
ADCY6,1.99425837451901e-06
ADCY7,2.35617104159076e-06
ADCY8,1.79788942986589e-05
ADCY9,3.48591652349759e-06
ADCYAP1,8.25595197531403e-06
ADCYAP1R1,6.6801319923356e-06
ADD1,2.18338869696584e-06
ADD2,1.04911301831915e-05
ADD3,2.10913643605059e-06
ADGB,1.09814306766234e-06
ADH1A,3.20778044497921e-06
ADH1B,8.305678589896e-06
ADH4,3.90070457950194e-06
ADH5,9.90165806273172e-07
ADH6,2.9935447030839e-06
ADH7,2.60225247747287e-06
ADHFE1,9.83891402023746e-07
ADI1,4.15375354443295e-06
ADIG,2.47706185648626e-06
ADIPOQ,3.27512825063613e-06
ADIPOR1,1.1014280435129e-06
ADIPOR2,1.055178242711e-06
ADIRF,1.66360539787293e-06
ADK,7.28774669042819e-07
ADM,3.3555549809713e-06
ADM2,1.10481152924708e-06
ADM5,1.09159644536347e-06
ADNP,1.55365895180813e-06
ADNP2,2.26642646546438e-06
ADO,1.99315582545506e-06
ADORA1,5.24990031957814e-06
ADORA2A,1.16622011392145e-06
ADORA2B,1.15309044278494e-06
ADORA3,2.82642006187441e-06
ADPGK,2.12680946630452e-06
ADPRH,2.54077156263662e-06
ADPRHL1,3.72826194456573e-06
ADPRHL2,1.93404488555923e-06
ADPRM,1.82476871786467e-06
ADRA1A,2.9075416150996e-06
ADRA1B,3.46425080244239e-06
ADRA1D,1.80602038886448e-06
ADRA2A,6.71606108602591e-06
ADRA2B,5.54134827342299e-06
ADRA2C,6.76728975771798e-06
ADRB1,1.95664487071584e-06
ADRB2,1.61079004840067e-06
ADRB3,1.64850542450751e-06
ADRBK1,2.00621571862259e-06
ADRBK2,1.9866780281272e-06
ADRM1,2.07355630624521e-06
ADSL,1.3706398013961e-06
ADSS,2.91805254936233e-06
ADSSL1,2.43530222255555e-06
ADTRP,3.39623772090211e-06
AE000662.92,1.41367672075696e-06
AEBP1,4.5940504996646e-06
AEBP2,1.90826936599867e-06
AEN,1.45706635822013e-06
AES,1.25036228531021e-06
AF131215.5,3.03844777740876e-06
AF165138.7,2.51704200121e-06
AFAP1,2.58651278777343e-06
AFAP1L1,2.36265545277734e-06
AFAP1L2,1.33373501872668e-06
AFF1,2.17637538892989e-06
AFF2,1.28203981573555e-05
AFF3,4.67172624183864e-06
AFF4,6.37596120433889e-07
AFG3L2,1.76216126981768e-06
AFM,5.58615220921955e-06
AFMID,2.69368119370199e-06
AFP,1.43617612974223e-06
AFTPH,2.71213560121969e-06
AGA,2.50760592906041e-06
AGAP1,3.56701396125448e-06
AGAP10,9.13926397734667e-07
AGAP2,3.82265894481195e-06
AGAP3,3.87632242472492e-06
AGAP4,1.23618285205688e-06
AGAP5,1.0992994858511e-06
AGAP6,2.39881708136381e-06
AGAP7,2.81792665502191e-06
AGAP8,7.72015245464697e-07
AGAP9,8.96088761866846e-07
AGBL1,8.23690354416956e-06
AGBL2,2.02720658573276e-06
AGBL3,9.89779532137667e-07
AGBL4,4.75232070154769e-06
AGBL5,1.79661652364658e-06
AGER,1.40774386443921e-06
AGFG1,3.023226785689e-06
AGFG2,3.42013289408983e-06
AGGF1,1.2059147612752e-06
AGK,2.36638544347771e-06
AGL,2.10038102675723e-06
AGMAT,1.44863507511807e-06
AGMO,7.91704858784418e-06
AGO1,2.23691693274053e-06
AGO2,2.37769028778726e-06
AGO3,9.84696855966184e-07
AGO4,6.83245033416718e-07
AGPAT1,2.04882202725738e-06
AGPAT2,1.08463288292263e-06
AGPAT3,2.64176712661193e-06
AGPAT4,2.7461331031592e-06
AGPAT5,1.16711883168729e-06
AGPAT6,1.55306211902015e-06
AGPAT9,3.16069649336671e-06
AGPS,3.22844068524969e-06
AGR2,1.33934211236958e-06
AGR3,1.59668281833912e-06
AGRN,2.13978850097197e-06
AGRP,3.79425717997738e-06
AGT,7.20078534573931e-06
AGTPBP1,1.83794812618701e-06
