gene,rate
AL133481.1,1.00243662263871e-06
AL135998.1,7.34452500764735e-07
AL136218.1,6.25778696337442e-07
AL136531.1,6.80715375839409e-07
AL137002.1,1.86702163256625e-06
AL137026.1,2.75285566059048e-06
AL138764.1,7.64661075989207e-07
AL138815.1,4.28804676591555e-06
AL138815.2,2.38004103832877e-06
AL138847.1,2.10498538395319e-06
AL139080.1,1.93220340190218e-06
AL139147.1,1.29010755008678e-06
AL139333.1,2.53728368219084e-06
AL158091.1,1.67152447118717e-06
AL158147.2,1.16372074836042e-06
AL160175.1,1.02463737141858e-06
AL160274.1,8.66637096069001e-07
AL160286.1,2.57623172859337e-06
AL161450.1,7.2329736357947e-07
AL161645.2,2.65972810709855e-06
AL161915.1,6.46605851134006e-07
AL162389.1,1.43891768013865e-06
AL162424.1,1.1740522249834e-06
AL162431.1,1.7325837932337e-06
AL353354.1,1.3929948100806e-06
AL353583.1,1.51589803458645e-06
AL353608.1,1.79201712526488e-06
AL353698.1,1.56367892393108e-06
AL354718.1,1.12971881118569e-06
AL354808.2,1.66191391208803e-06
AL355390.1,2.64392695362072e-06
AL355490.1,5.87470312756696e-07
AL355531.2,1.93193933428344e-06
AL356215.1,4.71675492869376e-07
AL357673.1,9.17505439837866e-07
AL359091.2,9.33722580082678e-07
AL359195.1,9.17572776407595e-07
AL359693.1,1.34956021035791e-06
AL359878.1,7.97243129103983e-07
AL360004.1,1.32644661839949e-06
AL365202.1,2.73293805700453e-06
AL390778.1,1.6768345753685e-06
AL391421.1,1.1761482262131e-06
AL445665.1,1.54012949108791e-06
AL445989.1,5.20634425239715e-06
AL450307.1,2.462723564248e-06
AL513478.1,1.85611966349271e-06
AL589739.1,8.55470727713044e-07
AL590452.1,8.92590918828321e-07
AL590483.1,1.65866200911582e-06
AL590560.1,7.98586216960776e-07
AL590708.2,7.79761906591745e-07
AL590714.1,7.69049694189799e-07
AL590822.2,5.02806374237203e-07
AL590867.1,1.83993166548449e-06
AL591025.1,1.44091178865032e-06
AL591479.1,1.66815018245289e-06
AL591806.1,1.1763251504432e-06
AL592284.1,1.06427186310598e-06
