gene,selection_intensity,ci_low_95,ci_high_95
RIMS2,1212.28696725437,201.57838419479,3743.34339038703
DCSTAMP,51.2336591294857,8.51910778289226,158.201080958963
DPYS,41.3671261549572,6.8785051243071,127.734872382099
LRP12,262.539544716359,43.6549483507384,810.67883366469
ZFPM2,381.237003691166,63.3919089818312,1177.19820836205
ANGPT1,162.591750032215,27.0356653149048,502.056423795521
RSPO2,238.759710614405,39.7008424746567,737.251152117141
PKHD1L1,368.705517314408,61.3081565801504,1138.50275329496
CSMD3,3077.45373086833,511.717270468279,9502.68125407302
TRPS1,1077.55130970719,179.174680857057,3327.30210994346
NOV,297.12145287603,49.4051655130339,917.461814734734
ENPP2,87.1489762201526,14.4910866527525,269.101800092966
COL14A1,492.352547589481,81.8681299420697,1520.30412527327
DERL1,755.349680115752,125.599159977114,2332.39637317914
C8orf76,551.213305497015,91.6554249185567,1702.05492644609
FBXO32,516.138272939967,85.8232171793388,1593.74967332762
ANXA13,438.40475381751,72.8977121374429,1353.72269579213
FER1L6,114.366002997388,19.0167233479396,353.143364168958
ADCY8,185.84363156185,30.9019829919606,573.854683394708
KCNQ3,159.418039744882,26.5079480545186,492.256519978769
LRRC6,72.5333517269049,12.0608101424916,223.971038339573
PHF20L1,120.670531581522,20.0650352327229,372.610808589316
TG,888.155691288349,147.682077021693,2742.4794487172
WISP1,333.81299136782,55.5062489354117,1030.76012839938
FAM135B,532.567593526323,88.5550738967762,1644.48143502656
COL22A1,479.139007207883,79.6709823650692,1479.50293561805
KCNK9,150.717506710627,25.0612317754313,465.390859338851
BAI1,445.328366257691,74.0489763970424,1375.10091186927
GML,83.8948518046626,13.949993450489,259.05355246667
CYP11B1,1647.50636155505,273.946079950892,5087.22358509992
CYP11B2,95.4541087234005,15.8720518134281,294.747043736917
ZC3H3,78.3057107007309,13.0206353230425,241.795126865382
EPPK1,1198.44744304474,199.277208168174,3700.60819010492
PLEC,409.525857833144,101.844264415663,1061.94096313628
SLC52A2,582.008363172361,96.7760608327441,1797.14623773561
CPSF1,1830.61874960823,304.394385039147,5652.64922958656
VPS28,974.775403869268,162.085101101824,3009.94621213623
LRRC24,2394.16511516483,398.100205351892,7392.80463294392
RPL8,755.009900044845,125.542681451154,2331.34595856785
DMRT1,536.647646525154,89.2334943008036,1657.08034257511
JAK2,324.408398496118,53.9424518898046,1001.71923082447
RLN2,1869.04138131112,310.78324147791,5771.29421917813
PTPRD,606.585568080512,100.862743717542,1873.03654315998
TYRP1,656.044848585485,109.086796325957,2025.75943943977
BNC2,159.034329465731,26.4441185024542,491.072942958688
FAM154A,103.892394830392,17.2751733405555,320.80274374634
IFNA4,308.066655462219,61.3319659441556,890.583558114961
CDKN2A.p16INK4a,2504.83948397908,,6523.57105312698
CDKN2A.p14arf,176.533396920926,,548.548203576119
ELAVL2,146.625132873617,24.3807519658661,452.754412554483
LINGO2,81.1795301068375,13.4984918028253,250.66905041645
ACO1,2615.16303689735,434.847839787324,8075.19809039453
PRSS3,683.883444812902,113.715812401053,2111.71927019595
PAX5,704.209968934693,117.095690332494,2174.48404162879
CNTNAP3,320.059714418448,53.2193654654758,988.292061808397
SPATA31A3,637.173180741235,105.948837283831,1967.48683384291
SPATA31A7,1995.43648502452,496.241606622591,5174.35971123867
TMC1,269.386498239671,44.7934512138259,831.821299400513
RORB,109.811962949063,18.2594764552554,339.081389979261
FOXB2,95.70955818886,23.8018210788215,248.184096829448
GNAQ,1509.51520010096,251.001375031341,4661.13361874942
SPATA31D1,157.66533229822,26.2164994934957,486.844990045293
C9orf64,133.22119501137,22.151914915835,411.364294327563
SLC28A3,963.791585322309,160.258685194462,2976.02995083565
NTRK2,247.096861301696,41.0871608325906,762.994555085938
DAPK1,487.112935920183,80.996784700302,1504.12397138074
CDK20,1884.35693422456,313.329847825906,5818.58673583108
SEMA4D,189.163333613787,31.4539868710743,584.105217004693
ROR2,221.792882499358,36.8796174390767,684.860103511503
ZNF169,588.299928049756,97.8222040028243,1816.57436388025
FANCC,224.464722641416,55.8217762996196,582.058476634582
PTCH1,121.259736628748,20.1630101335353,374.430060683759
CCDC180,741.773348027011,123.341616179466,2290.47293450315
TMOD1,81.8220565240486,13.6053308566061,252.653063292043
COL15A1,550.896042838857,91.6027210555029,1701.07641984772
MRPL50,534.989663519757,88.9578162158334,1651.96026582175
OR13C4,111.993935148477,18.6222880236225,345.81922817822
OR13C8,123.68865461136,20.566888933687,381.93015726962
OR13C2,80.8473888107064,13.443262429905,249.643503284121
OR13C9,31.6483923096031,5.26247824929915,97.7250406450327
KLF4,772.237701217054,128.407310374961,2384.54272430396
SVEP1,221.877009798258,36.8935921391153,685.120030797717
DFNB31,967.616881148127,160.894770524106,2987.84172514847
TNC,421.150780633221,70.0287478373224,1300.44418110755
PAPPA,171.893364105404,28.5823455226785,530.77835066937
TLR4,469.016413030373,77.9877902064433,1448.2457086538
CDK5RAP2,360.361361063476,59.9207094807864,1112.7366534434
PTGS1,88.6052214923849,14.7332330776424,273.59832054856
OR1K1,1015.84094220295,168.913477389971,3136.75000682052
RC3H2,1487.05696033639,247.267083362285,4591.78817073368
GAPVD1,2242.34649255723,372.856089002643,6924.00171161559
SH2D3C,87.464269495531,14.5435165558617,270.075229519474
GOLGA2,228.747172517341,38.0359522248383,706.334336175967
ODF2,447.303801855984,74.3774049301332,1381.20311478485
PRDM12,175.402149406118,29.1657812849979,541.613064380359
ABL1,263.402728794888,43.7984791642654,813.344122227368
PRRC2B,562.425775868873,93.519804838357,1736.6808067329
MED27,191.744371928542,31.8831538638402,592.075349990298
NTNG2,78.3766772430901,13.0324351967437,242.014279954259
TSC1,160.7488028612,26.7292262728375,496.365615799703
ADAMTSL2,158.39304677486,26.3375138163637,489.091532945991
RXRA,1610.00716307079,267.711116188563,4971.43789515063
KCNT1,126.052231825479,20.9599050001906,389.228537970582
LHX3,581.013613081488,96.6106494362343,1794.07493288394
QSOX2,1106.56505738943,183.999011826058,3416.89215352766
LCN10,355.386063185253,59.0934153541845,1097.37391490302
TRAF2,725.54086526945,120.642545578138,2240.34979822915
C9orf173,318.470221227129,52.9550707269085,983.38367830935
PNPLA7,193.03392552071,32.0975840730329,596.057102838311
CACNA1B,2467.93440144075,509.242955422177,7026.97799074683
ADARB2,259.497661991716,43.1491622573363,801.286667166207
AKR1CL1,91.2009030748672,15.1648398383141,281.613427501984
SFMBT2,68.7686787443515,11.4348215841163,212.346335549713
ITIH5,303.338053965606,50.4388915813129,936.658486391046
ITIH2,288.451211140105,47.9635249909236,890.68988969647
GATA3,76.9065145647087,12.7879755222201,237.474586924917
SEC61A2,738.028242781068,122.718955687711,2278.91068158912
FAM107B,131.217997111018,21.8188624095459,405.179660624866
FAM171A1,148.903343691269,24.7595698953938,459.789239881822
ITGA8,515.91697606301,96.321966491982,1529.81761966673
CUBN,1400.94293725103,232.948011065412,4325.88138036407
ST8SIA6,167.083288523902,27.7825057233453,515.925516663605
SLC39A12,207.818112781128,34.5558929737525,641.708144146834
PLXDC2,1514.6252627139,251.851129955479,4676.9133471786
NEBL,152.20140730104,25.3079749451523,469.972832986426
KIAA1217,278.846669532634,46.3664796103233,861.032703558812
GPR158,318.771895414591,53.0052234724431,984.315580426464
APBB1IP,418.171079292226,69.5332529085721,1291.24351161863
ACBD5,1099.19949422135,182.77417713127,3394.14541747582
PTCHD3,168.12906803221,27.9563975739798,519.154556451272
ARMC4,512.478503004615,85.2146626805131,1582.44916829892
EPC1,1450.81126975652,241.240023079981,4479.86396116359
ANKRD30A,153.935947571843,25.5963886435629,475.328988039379
ZNF33A,178.675429259463,29.7100601812443,551.72043151583
LINC00999,6274.03447902379,3014.74157068729,11310.265183805
BMS1,753.178192255194,125.238092207491,2325.69091086869
ALOX5,135.021448729969,22.4512904771209,416.923921649149
C10orf71,165.426187498414,27.5069712592937,510.80852461756
CHAT,874.521397423477,145.414884303571,2700.37734767723
PARG,3233.44888655166,537.656182354866,9984.35717687288
AGAP7,276.681010933838,46.0063798055809,854.345376448379
A1CF,91.7255961453419,15.2520861534907,283.233565373575
MBL2,76.8739325895413,12.7825568949844,237.374174456453
PCDH15,565.835843534424,94.0866595825934,1747.21895359475
BICC1,147.972074254136,24.6047240563341,456.913383757174
CTNNA3,220.073874295398,36.5937709848886,679.552117112082
MYPN,646.005779154592,107.417438218649,1994.75952047354
ADAMTS14,2055.07609787543,457.745086011105,5649.16738107791
ZSWIM8,214.009130426653,35.5853008951722,660.826456885609
PLAU,220.56575008933,36.6755559150165,681.071133622068
DUSP13,183.191575841686,30.4609615731083,565.667467607075
DLG5,712.574385988329,118.486483163173,2200.31291239974
MAT1A,116.378334634811,19.3513314695414,359.357178907925
GRID1,1597.79747308064,265.680890282492,4933.73773436441
WAPAL,1079.66544419303,179.526181668633,3333.82906602568
PTEN,622.654277786514,103.534602616915,1922.65274362387
SLC16A12,217.87047539454,36.2273968539297,672.748113166902
HTR7,286.203751595877,47.5898012330684,883.750094910686
MYOF,660.944345306683,109.901504328284,2040.8880934708
PLCE1,244.473226266152,40.6508797370774,754.893498057247
TBC1D12,2578.19125418804,428.700260994811,7961.03341493244
CYP2C19,218.842901560102,36.3890911315282,675.750813151926
TLL2,53.3711847604291,8.87453320452052,164.801471570395
SLIT1,801.730016486877,133.311242037529,2475.61199771836
HPSE2,171.400776102211,28.5004374518439,529.257361120585
CNNM1,309.902142520326,51.5303669015957,956.927245291698
ABCC2,65.8334228220581,10.9467495816162,203.282766299977
BTRC,946.30541560091,157.351097107793,2922.03755291392
NT5C2,1424.3066800375,236.83271338663,4398.03544687968
PDCD11,1719.88065125588,285.980785667946,5310.71069641367
CALHM1,104.67513127968,17.405328719304,323.219594466209
WDR96,210.566347321197,35.012857407352,650.194729893615
SORCS3,351.175589021853,58.3932562117644,1084.37239478662
SORCS1,305.534885823112,50.8041740720143,943.442114303825
BBIP1,1938.96492741434,322.410074834768,5987.20477280403
GPAM,281.614744967679,46.8267043011377,869.582236592675
PNLIPRP3,64.7998121987264,10.7748827231545,200.091170094174
PNLIP,174.15970659313,28.9591844774955,537.776791564499
KCNK18,191.409065426545,31.8274010936548,591.039894221514
PDZD8,948.012331599963,157.634969913716,2927.30609723305
SEC23IP,2018.11709884459,335.571305579359,6231.61221551914
TACC2,173.312262638068,28.8182729424203,535.159974274359
DMBT1,179.402364361173,29.8309272943149,553.965429035233
ACADSB,984.399036273146,163.685325040255,3039.66239441453
CPXM2,720.711577494832,119.839530525278,2225.44038747989
CHST15,416.124134784723,69.1929128841734,1284.92358715063
FAM175B,1124.73597987827,187.018498741674,3472.96422050813
TCERG1L,120.669821999985,20.0649172612156,372.608616623838
JAKMIP3,182.466744401027,30.3404815622072,563.427236230647
TTC40,202.452011977918,33.6636165764077,625.138672067419
GPR123,114.149973216201,18.9807994698091,352.476417756687
SYCE1,76.2174321288084,12.6733951968486,235.346967784541
FRG2B,465.109365454889,77.3381604601525,1436.18111454129
NLRP6,800.469552687363,133.10167004645,2471.71909006685
HRAS,1442.30126035703,239.825048601588,4453.5876820238
C11orf35,528.954722012289,87.9543362726624,1633.32491742807
MUC5AC,125.009373965734,20.7864993721759,386.008403683749
MUC5B,174.413973109912,29.0014639106678,538.561914422207
KRTAP5-5,1250.58415202729,207.946430090283,3861.59711364398
IGF2,454.672305011101,75.6026910156407,1403.95300815717
TH,938.714744364254,156.089020203656,2898.59711697935
ZNF195,355.438999821481,59.1022121838456,1097.53763393968
NUP98,684.1203493368,113.755195243038,2112.45110291954
OR52K2,772.352240062765,128.426113503824,2384.90779381781
OR52K1,126.762288959917,21.0779722163344,391.421088692627
C11orf40,320.771568508262,53.3377264494687,990.490417166516
OR51F1,566.632486545833,94.2192764511459,1749.66597397527
OR52R1,75.6822305576936,12.5844019851474,233.694360594931
OR51G2,86.2377280781859,14.3395638636144,266.288057513866
OR51G1,56.9683231151771,9.47266340651531,175.908841520732
MMP26,434.392112601693,72.2305113738806,1341.33141988784
OR51L1,64.9186262380039,10.7946377804053,200.458091359269
OR52J3,199.007123008854,33.090843900875,614.501921195503
OR51V1,116.224474155442,19.3257441991299,358.882163105863
HBB,1590.53034191147,264.472540130693,4911.29640351444
OR51B4,395.979282706797,65.8432416171163,1222.71908244128
OR51Q1,39.6718150269111,6.59660966120171,122.500027203088
TRIM22,910.858493055424,151.457094135962,2812.58178185762
OR56B1,82.9750467628894,13.7970462167304,256.213460517962
OR52N1,196.581887452952,32.6875362246862,607.012640719461
OR56A3,281.553788938975,46.8166194277853,869.391634949091
OR56A4,112.151465694318,18.6484897111523,346.305303868291
OR56A1,113.452832097874,18.864878273472,350.323802553617
OR52B2,253.005024298699,42.0695451982355,781.237905646445
CCKBR,58.714960337606,9.76309349124966,181.302167952385
PRKCDBP,112.879892255923,18.7696120332906,348.554569352421
OR10A5,271.22184772567,45.0986355341462,837.488386336598
OR10A2,63.1115411222956,10.4941535814968,194.878150609235
ZNF215,120.076519662994,19.9662634408969,370.776585125498
ZNF214,613.813380463742,102.06462365704,1895.35522128769
NLRP14,147.115014651348,24.4622060273563,454.267236928179
SYT9,148.352080302884,24.6679118654996,458.086743286212
OR5P3,263.69535746493,43.847126769858,814.248217784666
NLRP10,60.695863040808,10.0924764696563,187.418900068512
RRAS2,2769.00526205691,460.428720374311,8550.23422698785
