third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
ZNF561,459,1,153,2,415,0,107,0
CEACAM18,457,3,153,2,408,7,103,4
TBC1D22B,458,2,154,1,411,4,106,1
ARHGAP12,458,2,154,1,403,12,104,3
KRT82,457,3,154,1,395,20,106,1
ZNF584,458,2,155,0,413,2,105,2
CLIP2,454,6,153,2,392,23,100,7
COL11A2,451,9,151,4,392,23,97,10
POLR3C,458,2,150,5,407,8,107,0
MUC21,457,3,154,1,409,6,105,2
NASP,457,3,154,1,413,2,106,1
ICAM3,459,1,155,0,412,3,107,0
MFAP1,458,2,155,0,406,9,106,1
SLCO1C1,453,7,150,5,397,18,101,6
TRPS1,440,20,142,13,375,40,87,20
CCT4,455,5,154,1,408,7,105,2
HOMEZ,458,2,154,1,409,6,104,3
VEZT,458,2,153,2,408,7,104,3
SNTG1,602,24,294,26,519,57,163,16
KIF21A,451,9,148,7,388,27,103,4
ARHGAP35,651,21,336,5,595,22,190,11
DDC,666,6,337,4,607,10,198,3
SPRED2,459,1,153,2,411,4,106,1
TBX15,452,8,149,6,397,18,101,6
NCAPD3,451,9,153,2,396,19,101,6
SLC28A3,457,3,154,1,401,14,102,5
CEP120,455,5,152,3,404,11,102,5
FOLH1B,452,8,152,3,391,24,101,6
PIGN,458,2,152,3,407,8,104,3
CYP1A2,459,1,154,1,410,5,107,0
PLXNA4,641,31,333,8,560,57,182,19
VARS2,457,3,155,0,412,3,104,3
KRT74,458,2,153,2,402,13,106,1
VCAN,429,31,134,21,352,63,91,16
ALDH3A2,457,3,154,1,409,6,107,0
RNF220,454,6,155,0,410,5,106,1
CYP2A7,458,2,154,1,411,4,106,1
RELA,751,9,411,5,684,10,240,0
ACP6,458,2,154,1,410,5,107,0
CPNE8,455,5,152,3,404,11,103,4
KRT76,458,2,155,0,410,5,106,1
RUSF1,454,6,155,0,412,3,106,1
CHST2,458,2,152,3,404,11,105,2
ZNF728,457,3,152,3,405,10,103,4
CPD,456,4,150,5,406,9,104,3
TRAF2,1338,4,851,2,1266,8,422,3
ATP8B4,450,10,148,7,389,26,95,12
SRP68,459,1,154,1,411,4,105,2
CWF19L2,454,6,153,2,407,8,104,3
ECM1,455,5,153,2,407,8,106,1
CD163,451,9,152,3,383,32,100,7
IL17RD,454,6,152,3,407,8,104,3
GIT1,458,2,154,1,410,5,105,2
HP1BP3,457,3,153,2,407,8,103,4
CCDC66,460,0,153,2,405,10,106,1
RBL2,758,11,404,8,658,14,222,4
PTCHD3,451,9,152,3,395,20,100,7
GRM3,521,4,221,7,478,26,132,7
SKIL,456,4,155,0,408,7,106,1
HMGCS1,458,2,155,0,405,10,103,4
ASIC5,454,6,154,1,409,6,106,1
ESRP2,456,4,154,1,413,2,107,0
FUT10,458,2,154,1,409,6,107,0
FER1L5,454,6,153,2,402,13,100,7
CLEC16A,450,10,152,3,402,13,103,4
PDZD3,458,2,154,1,408,7,106,1
NELL2,662,10,337,4,590,27,196,5
NCOA3,1327,12,839,10,1245,27,414,10
MYOCD,448,12,148,7,399,16,103,4
PSMD1,457,3,154,1,400,15,105,2
SDK1,652,20,327,14,580,37,189,12
ALOX5,457,3,151,4,404,11,101,6
COG4,459,1,153,2,411,4,107,0
NECTIN2,460,0,153,2,413,2,107,0
FAT3,1013,56,573,58,866,195,293,86
FAM114A1,669,3,339,2,610,7,198,3
ITGB3,496,2,198,3,443,14,123,3
HGSNAT,454,6,152,3,406,9,104,3
RPS6KA6,521,2,188,3,442,13,125,6
EP400,492,6,192,9,426,31,115,11
PLCL2,910,8,561,1,820,14,291,5
GTPBP4,452,8,155,0,407,8,105,2
NDNF,460,0,152,3,406,9,106,1
POTEH,450,10,151,4,383,32,95,12
KANSL3,459,1,155,0,410,5,107,0
FLG,411,49,131,24,297,118,66,41
SCNN1D,454,6,154,1,409,6,102,5
TRAF3IP3,457,3,152,3,399,16,106,1
L1CAM,441,19,148,7,395,20,97,10
MTTP,453,7,152,3,405,10,102,5
ARHGAP20,455,5,152,3,404,11,105,2
MROH8,453,7,153,2,402,13,107,0
GAB4,454,6,151,4,393,22,100,7
GPR176,458,2,155,0,412,3,106,1
ABCC11,446,14,149,6,395,20,97,10
ORC3,460,0,152,3,411,4,107,0
CDKL5,459,1,150,5,405,10,103,4
PRKCSH,456,4,154,1,412,3,107,0
DDX60,453,7,153,2,399,16,101,6
PCSK6,664,8,336,5,610,7,195,6
SLC22A13,456,4,153,2,413,2,105,2
MSLN,459,1,154,1,411,4,104,3
RNF169,458,2,155,0,412,3,106,1
DSCAM,659,13,332,9,575,42,190,11
TAS1R3,457,3,155,0,413,2,106,1
MOCOS,456,4,152,3,408,7,101,6
VAC14,455,5,154,1,403,12,105,2
ZNF460,457,3,153,2,405,10,101,6
METTL25,456,4,155,0,409,6,107,0
PPP1R9B,457,3,155,0,413,2,105,2
ADGRL4,444,16,149,6,380,35,98,9
RFX3,457,3,154,1,404,11,106,1
ZSCAN12,458,2,155,0,412,3,106,1
ARSI,456,4,149,6,407,8,103,4
SBF1,455,5,153,2,402,13,105,2
C2orf78,453,7,148,7,398,17,103,4
CDH10,425,35,140,15,332,83,78,29
PPP1R3A,450,10,147,8,369,46,98,9
ITGB8,455,5,148,7,400,15,102,5
TOPAZ1,459,1,152,3,409,6,103,4
CDHR1,451,9,150,5,397,18,102,5
AOC2,458,2,152,3,409,6,106,1
TSPYL2,458,2,150,5,403,12,104,3
MS4A14,451,9,149,6,377,38,100,7
CRYBG2,454,6,153,2,399,16,101,6
NLRP8,447,13,146,9,390,25,101,6
TUBGCP2,451,9,153,2,407,8,103,4
PLCB2,458,2,150,5,401,14,102,5
TNPO3,666,6,339,2,607,10,198,3
PCDHB16,451,9,146,9,389,26,99,8
DNAJC11,458,2,154,1,410,5,107,0
MACF1,426,34,136,19,361,54,91,16
SEMA3E,455,5,149,6,399,16,100,7
SPTAN1,449,11,154,1,397,18,102,5
TXNRD3,459,1,154,1,412,3,105,2
ATP6V0A1,458,2,154,1,407,8,105,2
GPHN,483,4,168,1,420,11,107,1
ATP1A3,452,8,154,1,398,17,102,5
CERT1,455,5,153,2,409,6,104,3
SCNN1G,455,5,152,3,407,8,107,0
GRIA1,666,6,335,6,603,14,194,7
TAB3,456,4,151,4,406,9,104,3
ANAPC2,457,3,154,1,408,7,102,5
CTNNA2,880,38,539,23,766,68,269,27
TCTN2,457,3,154,1,410,5,104,3
SRRM1,459,1,155,0,406,9,106,1
FAM161B,458,2,154,1,411,4,106,1
CSPG4,455,5,149,6,388,27,98,9
PCDH15,589,37,294,26,468,108,148,31
BTBD2,459,1,155,0,413,2,106,1
FAM47A,445,15,145,10,367,48,97,10
STOX2,459,1,154,1,412,3,106,1
MAP3K11,519,4,189,2,449,6,131,0
ZKSCAN5,458,2,155,0,408,7,102,5
IL17RA,458,2,154,1,408,7,105,2
PRAM1,458,2,154,1,412,3,106,1
PCDHGA8,411,49,118,37,311,104,72,35
ZNF423,443,17,149,6,367,48,94,13
PCSK2,835,3,504,2,766,12,269,4
CAPN13,452,8,151,4,400,15,104,3
USP38,458,2,152,3,408,7,101,6
BMPER,452,8,151,4,383,32,98,9
ZNF317,457,3,151,4,408,7,105,2
DGCR8,457,3,154,1,406,9,103,4
COLGALT2,450,10,153,2,399,16,103,4
DDX1,456,4,151,4,401,14,105,2
ZNF746,453,7,155,0,403,12,104,3
LRIG3,482,5,170,0,420,12,107,2
CAMSAP2,454,6,151,4,404,11,100,7
CATSPERE,456,4,153,2,396,19,104,3
ATRX,2249,62,1538,93,2118,151,759,67
FYCO1,449,11,153,2,405,10,100,7
TENM3,603,23,307,13,528,48,161,18
ALOX15,459,1,151,4,410,5,105,2
HYDIN,434,26,140,15,367,48,89,18
