gene,rate
AL359091.2,7.52674457110738e-07
AL359195.1,8.52177126812294e-07
AL359693.1,7.82119605487482e-07
AL359878.1,7.35893327486263e-07
AL360004.1,1.05069835114135e-06
AL365202.1,1.21665134796569e-06
AL390778.1,1.87370838245061e-06
AL391421.1,8.85602463047875e-07
AL445665.1,1.03136900122922e-06
AL445989.1,9.75954277913741e-07
AL450307.1,1.92741073633721e-06
AL513478.1,9.66997687349003e-07
AL589739.1,5.40474568939889e-07
AL590452.1,5.65773671325739e-07
AL590483.1,8.50519640303369e-07
AL590560.1,6.24102282450475e-07
AL590708.2,8.48072005040921e-07
AL590714.1,5.30096512459463e-07
AL590822.2,6.24769151349573e-07
AL590867.1,1.34091198048916e-06
AL591025.1,6.8324062395404e-07
AL591479.1,1.15709355167847e-06
AL591806.1,7.5702921910842e-07
AL592284.1,9.20513354569154e-07
